省份,年份,月份,年月,供应链环节,抽检总批次数,合格批次数,不合格批次数,AFB1相关记录数,AFB1相关不合格批次数,浓度可用记录数,不合格率,AFB1相关不合格率,数据完整性标记
上海,2024,11,2024-11,流通,8,8,0,0,0,0,0.0,,基本完整
上海,2024,11,2024-11,生产,8,8,0,0,0,0,0.0,,基本完整
上海,2024,12,2024-12,流通,4,4,0,0,0,0,0.0,,基本完整
上海,2024,12,2024-12,生产,2,2,0,0,0,0,0.0,,基本完整
不详,2023,1,2023-01,流通,526,520,6,3,2,2,0.011406844106463879,0.6666666666666666,基本完整
不详,2023,1,2023-01,餐饮,121,121,0,0,0,0,0.0,,基本完整
不详,2023,2,2023-02,流通,290,277,13,12,12,12,0.04482758620689655,1.0,基本完整
不详,2023,2,2023-02,餐饮,23,23,0,0,0,0,0.0,,基本完整
不详,2023,3,2023-03,流通,367,361,6,23,5,4,0.01634877384196185,0.21739130434782608,基本完整
不详,2023,3,2023-03,餐饮,73,73,0,0,0,0,0.0,,基本完整
不详,2023,4,2023-04,流通,554,548,6,14,3,3,0.010830324909747292,0.21428571428571427,基本完整
不详,2023,4,2023-04,生产,1,1,0,0,0,0,0.0,,基本完整
不详,2023,4,2023-04,餐饮,95,95,0,1,0,0,0.0,0.0,基本完整
不详,2023,5,2023-05,流通,353,347,6,5,4,4,0.0169971671388102,0.8,基本完整
不详,2023,5,2023-05,餐饮,111,111,0,0,0,0,0.0,,基本完整
不详,2023,6,2023-06,流通,941,933,8,27,4,4,0.008501594048884165,0.14814814814814814,基本完整
不详,2023,6,2023-06,餐饮,90,90,0,3,0,0,0.0,0.0,基本完整
不详,2023,7,2023-07,流通,938,919,19,29,10,10,0.02025586353944563,0.3448275862068966,基本完整
不详,2023,7,2023-07,餐饮,164,163,1,8,1,1,0.006097560975609756,0.125,基本完整
不详,2023,8,2023-08,流通,1034,1012,22,31,7,6,0.02127659574468085,0.22580645161290322,基本完整
不详,2023,8,2023-08,生产,1,1,0,0,0,0,0.0,,基本完整
不详,2023,8,2023-08,餐饮,194,193,1,6,0,0,0.005154639175257732,0.0,基本完整
不详,2023,9,2023-09,流通,1043,1024,19,22,6,6,0.01821668264621285,0.2727272727272727,基本完整
不详,2023,9,2023-09,生产,16,16,0,0,0,0,0.0,,基本完整
不详,2023,9,2023-09,餐饮,206,206,0,8,0,0,0.0,0.0,基本完整
不详,2023,10,2023-10,流通,973,927,46,31,17,16,0.047276464542651594,0.5483870967741935,基本完整
不详,2023,10,2023-10,生产,10,9,1,1,1,1,0.1,1.0,基本完整
