序号,省份,年份,月份,年月,供应链环节,产品分类,产品名称,污染物名称_标准化,是否AFB1相关,AFB1识别依据,原始检测数值,初检浓度值,复检浓度值,最终采用浓度值,浓度单位,检测单位是否推断,原始法规限制,法规限量_数值,法规限量_单位,法规限量_比较符号,法规限量_单位是否推断,是否超标,超标倍数,浓度清洗状态,检测数值解析失败原因,法规限量解析状态,法规限量解析失败原因,是否建议人工复核,复核原因
3,不详,2024,8,2024-08,餐饮,花生仁/炒货坚果,花生籽,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,252µg/kg,252.0,,252.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,12.6,已解析并统一单位,,已解析并统一单位,,False,
4,不详,2024,8,2024-08,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
1,不详,2024,8,2024-08,流通,花生仁/炒货坚果,白花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,36.2µg/kg,36.2,,36.2,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,1.81,已解析并统一单位,,已解析并统一单位,,False,
33,不详,2024,8,2024-08,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,341μg/kg,341.0,,341.0,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,17.05,已解析并统一单位,,已解析并统一单位,,False,
34,不详,2024,8,2024-08,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,83.6μg/kg,83.6,,83.6,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,4.18,已解析并统一单位,,已解析并统一单位,,False,
19,不详,2024,8,2024-08,流通,花生仁/炒货坚果,散白沙花生米DJ,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,49.7µg/kg,49.7,,49.7,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,2.4850000000000003,已解析并统一单位,,已解析并统一单位,,False,
31,不详,2024,8,2024-08,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,140µg/kg,140.0,,140.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,7.0,已解析并统一单位,,已解析并统一单位,,False,
42,不详,2024,8,2024-08,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,270µg/kg,270.0,,270.0,μg/kg,False,≤20,20.0,μg/kg,≤,True,True,13.5,已解析并统一单位,,已解析并统一单位,,False,
43,不详,2024,8,2024-08,流通,花生仁/炒货坚果,红皮花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,307μg/kg,307.0,,307.0,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,15.35,已解析并统一单位,,已解析并统一单位,,False,
37,不详,2024,8,2024-08,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,40.6μg/kg,40.6,,40.6,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.0300000000000002,已解析并统一单位,,已解析并统一单位,,False,
38,山东,2024,8,2024-08,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,初检结果：237µg/kg复检结果：113µg/kg,237.0,113.0,113.0,μg/kg,False,≤20,20.0,μg/kg,≤,True,True,5.65,初检复检均解析，最终采用复检值,,已解析并统一单位,,False,
16,不详,2024,8,2024-08,流通,花生仁/炒货坚果,白花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,51.7µg/kg,51.7,,51.7,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,2.585,已解析并统一单位,,已解析并统一单位,,False,
72,不详,2024,9,2024-09,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,102µg/kg,102.0,,102.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,5.1,已解析并统一单位,,已解析并统一单位,,False,
73,不详,2024,9,2024-09,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,138µg/kg,138.0,,138.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,6.9,已解析并统一单位,,已解析并统一单位,,False,
74,不详,2024,9,2024-09,流通,花生仁/炒货坚果,大粒生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,308µg/kg,308.0,,308.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,15.4,已解析并统一单位,,已解析并统一单位,,False,
1,不详,2024,9,2024-09,流通,花生仁/炒货坚果,红花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,33.9µg/kg,33.9,,33.9,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,1.6949999999999998,已解析并统一单位,,已解析并统一单位,,False,
46,不详,2024,9,2024-09,流通,花生仁/炒货坚果,白皮花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,35.2µg/kg,35.2,,35.2,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,1.7600000000000002,已解析并统一单位,,已解析并统一单位,,False,
6,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
7,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
35,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,252µg/kg,252.0,,252.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,12.6,已解析并统一单位,,已解析并统一单位,,False,
36,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米（生干籽类）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,,,,,,False,,,,,False,True,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
37,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生仁（生干籽类）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,,,,,,False,,,,,False,True,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
51,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生米(生),黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,340µg/kg,340.0,,340.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,17.0,已解析并统一单位,,已解析并统一单位,,False,
23,不详,2024,9,2024-09,流通,花生仁/炒货坚果,大花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,37µg/kg,37.0,,37.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,1.85,已解析并统一单位,,已解析并统一单位,,False,
30,不详,2024,9,2024-09,流通,花生仁/炒货坚果,小花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,190µg/kg,190.0,,190.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,9.5,已解析并统一单位,,已解析并统一单位,,False,
31,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,330µg/kg,330.0,,330.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,16.5,已解析并统一单位,,已解析并统一单位,,False,
8,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,106µg/kg,106.0,,106.0,μg/kg,False,20µg/kg,20.0,μg/kg,≤,False,True,5.3,已解析并统一单位,,已解析并统一单位,,False,
80,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
81,不详,2024,9,2024-09,流通,花生仁/炒货坚果,大花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
82,不详,2024,9,2024-09,流通,花生仁/炒货坚果,大花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
83,不详,2024,9,2024-09,流通,花生仁/炒货坚果,大花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
84,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
85,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
86,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
1,不详,2024,9,2024-09,流通,花生仁/炒货坚果,红花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,205µg/kg,205.0,,205.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,10.25,已解析并统一单位,,已解析并统一单位,,False,
57,不详,2024,9,2024-09,流通,花生仁/炒货坚果,生花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,,,,,,False,,,,,False,True,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
45,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,61.0µg/kg,61.0,,61.0,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,3.05,已解析并统一单位,,已解析并统一单位,,False,
12,不详,2024,9,2024-09,流通,花生仁/炒货坚果,红皮花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,59.8µg/kg,59.8,,59.8,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,2.9899999999999998,已解析并统一单位,,已解析并统一单位,,False,
13,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生(生干籽类),黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,44.3μg/kg,44.3,,44.3,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.215,已解析并统一单位,,已解析并统一单位,,False,
3,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
4,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米（大）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
5,辽宁,2024,9,2024-09,流通,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
6,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
7,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
8,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
9,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生（好）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
10,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生（好）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
11,不详,2024,9,2024-09,流通,花生仁/炒货坚果,散装花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
12,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
13,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
14,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
15,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
16,不详,2024,9,2024-09,流通,花生仁/炒货坚果,红皮花生（花生仁）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
17,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
18,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
19,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
20,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
21,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,特级大白沙花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
23,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
24,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米（大）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
25,辽宁,2024,9,2024-09,流通,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
26,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
27,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
28,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
29,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生（好）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
30,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生（好）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
31,不详,2024,9,2024-09,流通,花生仁/炒货坚果,散装花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
32,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
33,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
34,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
35,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
36,不详,2024,9,2024-09,流通,花生仁/炒货坚果,红皮花生（花生仁）,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
37,不详,2024,9,2024-09,流通,花生仁/炒货坚果,花生仁,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
38,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
39,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
40,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
41,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,特级大白沙花生米,黄曲霉毒素B1（AFB1）,True,检验项目命中AFB1/黄曲霉变体,,,,,,False,,,,,False,False,,无检测数值,空值或占位符,无检测数值,空值或占位符,True,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
95,不详,2024,9,2024-09,餐饮,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,106µg/kg,106.0,,106.0,μg/kg,False,20µg/kg,20.0,μg/kg,≤,False,True,5.3,已解析并统一单位,,已解析并统一单位,,False,
60,不详,2024,10,2024-10,流通,花生仁/炒货坚果,白皮花生,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,50.3μg/kg,50.3,,50.3,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.5149999999999997,已解析并统一单位,,已解析并统一单位,,False,
61,山东,2024,10,2024-10,流通,花生仁/炒货坚果,东北白沙花生米（W）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,53.7μg/kg,53.7,,53.7,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,2.685,已解析并统一单位,,已解析并统一单位,,False,
73,不详,2024,10,2024-10,流通,花生仁/炒货坚果,花生米（生干籽类）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,883µg/kg,883.0,,883.0,μg/kg,False,20µg/kg,20.0,μg/kg,≤,False,True,44.15,已解析并统一单位,,已解析并统一单位,,False,
74,不详,2024,10,2024-10,流通,花生仁/炒货坚果,白花生米（生干籽类）,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,38.1/µg/kg,38.1,,38.1,μg/kg,True,20/µg/kg,20.0,μg/kg,≤,True,True,1.905,已解析并统一单位,,已解析并统一单位,,False,
41,不详,2024,10,2024-10,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,34.9μg/kg,34.9,,34.9,μg/kg,False,≤20μg/kg,20.0,μg/kg,≤,False,True,1.7449999999999999,已解析并统一单位,,已解析并统一单位,,False,
1,不详,2024,10,2024-10,流通,花生仁/炒货坚果,花生米,黄曲霉毒素B1（AFB1）,True,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体,66.9µg/kg,66.9,,66.9,μg/kg,False,≤20µg/kg,20.0,μg/kg,≤,False,True,3.345,已解析并统一单位,,已解析并统一单位,,False,
