省份,年份,月份,年月,供应链环节,样本量,均值,中位数,P75,P90,P95,最大值,lognormal_mu,lognormal_sigma,是否适合MonteCarlo模拟
山西,2023,12,2023-12,餐饮,2,75.45,75.45,80.17500000000001,83.01,83.955,84.9,4.3155644176718635,0.17806317093177623,不适合/样本不足
山西,2024,7,2024-07,餐饮,1,30.2,30.2,30.2,30.2,30.2,30.2,,,不适合/样本不足
山西,2024,9,2024-09,餐饮,1,70.4,70.4,70.4,70.4,70.4,70.4,,,不适合/样本不足
山西,2024,11,2024-11,餐饮,1,30.3,30.3,30.3,30.3,30.3,30.3,,,不适合/样本不足
山西,2024,12,2024-12,餐饮,1,91.3,91.3,91.3,91.3,91.3,91.3,,,不适合/样本不足
广东,2023,3,2023-03,流通,1,45.9,45.9,45.9,45.9,45.9,45.9,,,不适合/样本不足
广东,2023,3,2023-03,生产,1,51.0,51.0,51.0,51.0,51.0,51.0,,,不适合/样本不足
广东,2023,7,2023-07,生产,3,24.03333333333333,31.8,34.15,35.56,36.03,36.5,2.797259872368972,1.26822749887905,可探索但样本偏少
广东,2023,8,2023-08,流通,1,38.9,38.9,38.9,38.9,38.9,38.9,,,不适合/样本不足
广东,2023,8,2023-08,生产,1,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,,,不适合/样本不足
广东,2023,11,2023-11,流通,1,31.1,31.1,31.1,31.1,31.1,31.1,,,不适合/样本不足
广东,2023,11,2023-11,生产,1,33.6,33.6,33.6,33.6,33.6,33.6,,,不适合/样本不足
广东,2023,12,2023-12,流通,3,41.199999999999996,40.7,44.900000000000006,47.42,48.26,49.1,3.706849309912666,0.18669989128730602,可探索但样本偏少
广东,2024,1,2024-01,生产,1,70.3,70.3,70.3,70.3,70.3,70.3,,,不适合/样本不足
广东,2024,1,2024-01,餐饮,1,37.8,37.8,37.8,37.8,37.8,37.8,,,不适合/样本不足
广东,2024,2,2024-02,生产,2,52.5,52.5,54.8,56.18,56.64,57.1,3.9569598105394173,0.12423060909576068,不适合/样本不足
广东,2024,4,2024-04,生产,1,32.1,32.1,32.1,32.1,32.1,32.1,,,不适合/样本不足
广东,2024,5,2024-05,餐饮,1,75.9,75.9,75.9,75.9,75.9,75.9,,,不适合/样本不足
广东,2024,6,2024-06,餐饮,1,50.8,50.8,50.8,50.8,50.8,50.8,,,不适合/样本不足
广东,2024,7,2024-07,生产,1,61.4,61.4,61.4,61.4,61.4,61.4,,,不适合/样本不足
广东,2024,8,2024-08,生产,4,49.85,50.15,57.975,60.81,61.755,62.7,3.8868284252166774,0.2455624546297327,可探索但样本偏少
广东,2024,9,2024-09,生产,1,36.7,36.7,36.7,36.7,36.7,36.7,,,不适合/样本不足
广东,2024,10,2024-10,生产,1,109.0,109.0,109.0,109.0,109.0,109.0,,,不适合/样本不足
