产物,路径,存在,行数估计,列名
cleaned_dataset,D:\桌面\codex\workflow1\data\03_primary\peanut_cleaned_analysis_ready.csv,是,103509,序号; 产品分类; 产品名称; 判定结果; 不合格项目分类; 不合格项目; 不合格规范列; 检测数值; 法规限制; 规格型号; 商标; 生产日期; 生产企业名称; 生产企业地址; 生产省份; 抽样单位名称; 抽样单位地址; 通报时间; 通报文号; 通报单位; 措施; 来源链接; 来源链接.1; 检验项目; 抽检级别; 检验机构; 标准; 备注; 抽检环节; 是否属于网抽; 原始行号; 是否重复记录; 年份; 月份; 年月; 生产省份_清洗; 通报单位_清洗; 抽样地区_候选; 原始产品分类; 原始产品名称; 产品一级类; 产品二级类; 产品细分类; 抽检环节_清洗; 供应链环节; 生产企业_清洗; 生产企业地址_清洗; 抽样单位_清洗; 检验机构_清洗; 是否不合格
count_panel,D:\桌面\codex\workflow1\data\04_feature\peanut_count_panel.csv,是,1710,省份; 年份; 月份; 年月; 供应链环节; 抽检总批次数; 合格批次数; 不合格批次数; AFB1相关记录数; AFB1相关不合格批次数; 浓度可用记录数; 不合格率; AFB1相关不合格率; 数据完整性标记
concentration_table,D:\桌面\codex\workflow1\data\04_feature\peanut_concentration_clean_table.csv,是,1983,序号; 省份; 年份; 月份; 年月; 供应链环节; 产品分类; 产品名称; 污染物名称_标准化; 是否AFB1相关; AFB1识别依据; 原始检测数值; 初检浓度值; 复检浓度值; 最终采用浓度值; 浓度单位; 检测单位是否推断; 原始法规限制; 法规限量_数值; 法规限量_单位; 法规限量_比较符号; 法规限量_单位是否推断; 是否超标; 超标倍数; 浓度清洗状态; 检测数值解析失败原因; 法规限量解析状态; 法规限量解析失败原因; 是否建议人工复核; 复核原因
beta_binomial_states,D:\桌面\codex\workflow1\data\04_feature\peanut_beta_binomial_belief_states.csv,是,1710,省份; 年份; 月份; 年月; 供应链环节; 抽检总批次数; 合格批次数; 不合格批次数; AFB1相关记录数; AFB1相关不合格批次数; 浓度可用记录数; 不合格率; AFB1相关不合格率; 数据完整性标记; 年月排序; 总体不合格_观测成功数; 总体不合格_观测试验数; 总体不合格_观测率; 总体不合格_先验alpha; 总体不合格_先验beta; 总体不合格_先验均值; 总体不合格_先验方差; 总体不合格_先验95下限_正态近似; 总体不合格_先验95上限_正态近似; 总体不合格_后验alpha; 总体不合格_后验beta; 总体不合格_后验均值; 总体不合格_后验方差; 总体不合格_后验标准差; 总体不合格_后验95下限_正态近似; 总体不合格_后验95上限_正态近似; 总体不合格_后验强度; 总体不合格_风险等级_经验阈值; 总体不合格_不确定性等级; 总体不合格_较上期后验均值变化; 总体不合格_本期是否更新; AFB1全样本不合格_观测成功数; AFB1全样本不合格_观测试验数; AFB1全样本不合格_观测率; AFB1全样本不合格_先验alpha; AFB1全样本不合格_先验beta; AFB1全样本不合格_先验均值; AFB1全样本不合格_先验方差; AFB1全样本不合格_先验95下限_正态近似; AFB1全样本不合格_先验95上限_正态近似; AFB1全样本不合格_后验alpha; AFB1全样本不合格_后验beta; AFB1全样本不合格_后验均值; AFB1全样本不合格_后验方差; AFB1全样本不合格_后验标准差
belief_mdp_features,D:\桌面\codex\workflow1\data\04_feature\peanut_belief_mdp_state_features.csv,是,1710,省份; 年份; 月份; 年月; 供应链环节; 抽检总批次数; 合格批次数; 不合格批次数; AFB1相关记录数; AFB1相关不合格批次数; 浓度可用记录数; 不合格率; AFB1相关不合格率; 数据完整性标记; 年月排序; 总体不合格_观测成功数; 总体不合格_观测试验数; 总体不合格_观测率; 总体不合格_先验alpha; 总体不合格_先验beta; 总体不合格_先验均值; 总体不合格_先验方差; 总体不合格_先验95下限_正态近似; 总体不合格_先验95上限_正态近似; 总体不合格_后验alpha; 总体不合格_后验beta; 总体不合格_后验均值; 总体不合格_后验方差; 总体不合格_后验标准差; 总体不合格_后验95下限_正态近似; 总体不合格_后验95上限_正态近似; 总体不合格_后验强度; 总体不合格_风险等级_经验阈值; 总体不合格_不确定性等级; 总体不合格_较上期后验均值变化; 总体不合格_本期是否更新; AFB1全样本不合格_观测成功数; AFB1全样本不合格_观测试验数; AFB1全样本不合格_观测率; AFB1全样本不合格_先验alpha; AFB1全样本不合格_先验beta; AFB1全样本不合格_先验均值; AFB1全样本不合格_先验方差; AFB1全样本不合格_先验95下限_正态近似; AFB1全样本不合格_先验95上限_正态近似; AFB1全样本不合格_后验alpha; AFB1全样本不合格_后验beta; AFB1全样本不合格_后验均值; AFB1全样本不合格_后验方差; AFB1全样本不合格_后验标准差
belief_mdp_features_with_moe_edi,D:\桌面\codex\workflow1\data\04_feature\peanut_belief_mdp_state_features_with_moe_edi.csv,是,1710,省份; 年份; 月份; 年月; 供应链环节; 抽检总批次数; 合格批次数; 不合格批次数; AFB1相关记录数; AFB1相关不合格批次数; 浓度可用记录数; 不合格率; AFB1相关不合格率; 数据完整性标记; 年月排序; 总体不合格_观测成功数; 总体不合格_观测试验数; 总体不合格_观测率; 总体不合格_先验alpha; 总体不合格_先验beta; 总体不合格_先验均值; 总体不合格_先验方差; 总体不合格_先验95下限_正态近似; 总体不合格_先验95上限_正态近似; 总体不合格_后验alpha; 总体不合格_后验beta; 总体不合格_后验均值; 总体不合格_后验方差; 总体不合格_后验标准差; 总体不合格_后验95下限_正态近似; 总体不合格_后验95上限_正态近似; 总体不合格_后验强度; 总体不合格_风险等级_经验阈值; 总体不合格_不确定性等级; 总体不合格_较上期后验均值变化; 总体不合格_本期是否更新; AFB1全样本不合格_观测成功数; AFB1全样本不合格_观测试验数; AFB1全样本不合格_观测率; AFB1全样本不合格_先验alpha; AFB1全样本不合格_先验beta; AFB1全样本不合格_先验均值; AFB1全样本不合格_先验方差; AFB1全样本不合格_先验95下限_正态近似; AFB1全样本不合格_先验95上限_正态近似; AFB1全样本不合格_后验alpha; AFB1全样本不合格_后验beta; AFB1全样本不合格_后验均值; AFB1全样本不合格_后验方差; AFB1全样本不合格_后验标准差
edi_moe_risk_table,D:\桌面\codex\workflow1\data\04_feature\peanut_edi_moe_risk_table.csv,是,770,序号; 省份; 年份; 月份; 年月; 供应链环节; 产品分类; 产品名称; AFB1浓度_μg_kg_food; 消费量_g_day; 消费量_kg_day; 消费量匹配方式; 消费量匹配置信度; 是否建议人工复核_消费量; 消费量复核原因; 体重_kg_bw; EDI_μg_kg_bw_day; MOE_low_bmdl; MOE_sensitive_bmdl; MOE_default_bmdl; MOE_high_bmdl; MOE_upper_bmdl; MOE_cutoff; 是否低于MOE阈值; MOE风险等级; MOE风险惩罚项
