episode,total_reward,mean_loss,epsilon,mean_action,constraint_violation_rate,buffer_size,device,gpu
53,-346.19644298532563,0.0012119033474649427,0.7666961448653229,2.6853801169590645,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
54,-353.4519318244341,0.0013665223384564688,0.7628626641409962,2.750292397660819,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
55,-338.45158319946364,0.0013114714426906203,0.7590483508202912,2.6666666666666665,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
56,-337.8360984060661,0.0012042990747474307,0.7552531090661897,2.6309941520467834,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
57,-338.37694577283645,0.0012626091985893843,0.7514768435208588,2.626315789473684,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
58,-361.1239164418579,0.0011902902840040298,0.7477194593032545,2.769590643274854,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
59,-341.4426864244368,0.0012532141542147943,0.7439808620067382,2.6467836257309942,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
60,-325.8810097278926,0.0011911617168695093,0.7402609576967045,2.5690058479532163,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
61,-337.03504912457834,0.0013006699286307322,0.736559652908221,2.6362573099415205,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
62,-310.69821524281906,0.0014172484296610939,0.7328768546436799,2.4649122807017543,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
63,-320.3490354764888,0.0012590109065654333,0.7292124703704616,2.554970760233918,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
64,-362.6136535708162,0.0012183333207051166,0.7255664080186093,2.8046783625730995,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
65,-328.43417428651736,0.0012172721253676689,0.7219385759785162,2.6099415204678365,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
66,-336.51469842987257,0.0011360385022888624,0.7183288830986236,2.6298245614035087,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
67,-321.1827917928044,0.0011604681237817236,0.7147372386831305,2.491228070175439,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
68,-316.7063309440745,0.001132632223467141,0.7111635524897149,2.497076023391813,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
69,-309.91204107011794,0.0011587071570170204,0.7076077347272662,2.4596491228070176,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
70,-321.9279652824328,0.0011886765117510576,0.7040696960536299,2.515204678362573,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
71,-332.48553037809955,0.0012981520363705625,0.7005493475733617,2.619298245614035,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
72,-327.3433151570655,0.0011801089111467748,0.697046600835495,2.5543859649122806,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
73,-302.9415278168659,0.0012312351303394307,0.6935613678313175,2.3842105263157896,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
74,-298.09858212142757,0.001233744862940767,0.6900935609921609,2.3795321637426903,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
75,-324.51067476570273,0.001353256926788099,0.6866430931872001,2.5157894736842104,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
76,-311.79321018792376,0.0012028634387860893,0.6832098777212641,2.506432748538012,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
77,-320.4601393563975,0.0014235476429226308,0.6797938283326578,2.5385964912280703,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
78,-335.5493866914444,0.0013237530310442182,0.6763948591909945,2.6140350877192984,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
79,-313.5353005674018,0.0014531438110249215,0.6730128848950395,2.4730994152046786,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
80,-323.54840728400575,0.0013936037156351009,0.6696478204705644,2.5789473684210527,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
81,-330.28183177276196,0.0012911290665598293,0.6662995813682115,2.6269005847953215,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
82,-299.23293664730085,0.0012640879997521998,0.6629680834613705,2.395906432748538,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
83,-292.9209311330705,0.0013266325341088272,0.6596532430440636,2.333918128654971,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
84,-297.7065310230044,0.0012379838941225304,0.6563549768288433,2.349122807017544,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
85,-304.7379599830275,0.0011268513543022066,0.653073201944699,2.4321637426900584,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
86,-307.4539682528194,0.0011280929098724066,0.6498078359349755,2.4432748538011695,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
87,-287.30772700917055,0.0011328427084620867,0.6465587967553006,2.294152046783626,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
88,-279.3294211760989,0.0012517931791463572,0.6433260027715241,2.287719298245614,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
89,-293.6934845084191,0.001303019900435217,0.6401093727576664,2.319298245614035,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
90,-291.0033116052241,0.0011772548053100465,0.6369088258938781,2.31812865497076,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
91,-328.6221530391867,0.0012756027004712843,0.6337242817644086,2.5502923976608187,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
92,-288.1762757192879,0.001230346349769882,0.6305556603555866,2.309356725146199,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
93,-289.47312554384837,0.001251221178981138,0.6274028820538087,2.3461988304093566,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
94,-281.0515382574242,0.0012375456713479044,0.6242658676435396,2.2859649122807015,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
95,-284.9720154888783,0.0012422913837087293,0.6211445383053219,2.3292397660818716,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
96,-279.05098121510116,0.0012995017446340634,0.6180388156137953,2.263157894736842,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
97,-271.7809492335168,0.0013197740860220741,0.6149486215357263,2.2321637426900587,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
98,-276.78169060481207,0.001293113603895225,0.6118738784280476,2.2187134502923977,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
99,-272.0777650382721,0.0012098466333108056,0.6088145090359074,2.2198830409356725,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
100,-286.09965125091844,0.001253510562159061,0.6057704364907278,2.3,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
101,-262.07593888201893,0.0011480272466749802,0.6027415843082742,2.166081871345029,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
102,-282.19300098139735,0.0012124538140634226,0.5997278763867329,2.295906432748538,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
103,-260.6489695832042,0.0011954457265064829,0.5967292370047992,2.134502923976608,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
104,-270.53288021606306,0.001153742749249421,0.5937455908197752,2.2140350877192985,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
105,-286.015871371073,0.001162239049877209,0.5907768628656763,2.2649122807017545,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
106,-249.75539431066795,0.001109934393187157,0.5878229785513479,2.083625730994152,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
107,-279.46788022236603,0.0012126485097027325,0.5848838636585911,2.2637426900584794,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
108,-278.3233699826083,0.0013315473932858654,0.5819594443402982,2.269590643274854,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
109,-256.47304612361665,0.001203748142130248,0.5790496471185967,2.1292397660818714,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
110,-254.42204473642437,0.0012501788094989705,0.5761543988830038,2.1076023391812866,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
111,-267.2194328559819,0.0011728976995307048,0.5732736268885887,2.1801169590643275,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
112,-266.8523433233407,0.001131651184818781,0.5704072587541458,2.1497076023391815,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
113,-268.45185531751946,0.0011244505684011295,0.567555222460375,2.1883040935672513,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
114,-275.7147070595911,0.0011413668142767808,0.5647174463480732,2.2491228070175437,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
115,-267.62256972175874,0.0011109553762386167,0.5618938591163328,2.153216374269006,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
116,-242.05148056742178,0.0011638574774835901,0.5590843898207511,2.047953216374269,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
117,-244.74835320821114,0.001068849294386499,0.5562889678716474,2.035672514619883,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
118,-256.8515882542398,0.0012069878094878635,0.5535075230322891,2.1444444444444444,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
119,-266.8570017601799,0.0011894732762205726,0.5507399854171277,2.1982456140350877,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
120,-256.108393248964,0.0013262665121167986,0.547986285490042,2.0801169590643274,0.0,10000,cuda,NVIDIA GeForce RTX 4060 Ti
