policy,risk_reward_total,information_gain_total,sampling_cost_total,opportunity_penalty_total,constraint_penalty_total,rescaled_total_reward,reward_negative,negative_reward_interpretation
Q-learning,437.08035413037527,87.23211648155625,108.30600000000226,0.9875372025146004,0.0,471.52909489394915,False,
DQN修正版,429.8496795568103,80.38996586229845,112.66200000000242,0.6938361140829665,0.0,469.85867402351323,False,
threshold/greedy uncertainty,484.70407037905295,105.33551558325865,135.61200000000323,0.0,0.0,468.9166985723423,False,
risk-ranking top-k,422.6748138838469,94.8813526692505,82.35000000000134,0.0,0.0,441.66127786966933,False,
uniform allocation,348.0153670971109,77.68112308584499,90.97200000000184,0.0,0.0,417.27523314685095,False,
historical allocation,435.4146830784724,68.78568676206825,219.906000000006,0.0,0.0,305.5677656145999,False,
random policy,283.67664298684974,56.934901268615725,108.25200000000218,11.982347297500079,0.0,247.13434471069195,False,
