省份,年月,供应链环节,Q_action_0,Q_action_1,Q_action_3,Q_action_5,Q_action_10,experimental_label
上海,2023-12,餐饮,0.65229475,0.5767261,0.43661273,0.27285033,-0.1925734,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
上海,2024-06,餐饮,0.3399363,0.24705619,0.1087565,-0.0602495,-0.53322303,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-11,其他,0.5663655,0.7219292,0.8062316,0.7802866,0.49753892,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-03,其他,0.31096953,0.7047266,1.034007,1.1445744,1.0841146,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-04,其他,0.33786592,0.3814017,0.34685385,0.23775853,-0.12152749,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-01,流通,0.32280937,0.33776402,0.27269703,0.14299178,-0.24003066,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-02,流通,0.31744844,0.34281203,0.2883396,0.1644534,-0.20951563,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-03,流通,0.31955686,0.3408267,0.28218746,0.15601267,-0.22151701,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-04,流通,0.38590685,0.41197777,0.35898855,0.241157,-0.14956939,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-05,流通,0.3124543,0.34751466,0.30291185,0.18444656,-0.18108854,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-06,流通,0.32162222,0.33888188,0.276161,0.14774431,-0.23327331,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-07,流通,0.32174724,0.33876416,0.27579623,0.1472439,-0.23398483,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-08,流通,0.36469752,0.40438777,0.34409252,0.21833478,-0.15531856,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-09,流通,0.3266145,0.33418104,0.2615942,0.12775867,-0.26168972,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-10,流通,0.36218983,0.41911155,0.3739767,0.2567005,-0.10338104,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-11,流通,0.5312269,0.6190225,0.5362326,0.40276557,0.028420508,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-12,流通,0.58317924,0.7169547,0.6527136,0.5312713,0.18010283,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-01,流通,0.31848764,0.3526211,0.3071365,0.18860991,-0.17913383,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-02,流通,0.35780153,0.38990736,0.3427834,0.22627012,-0.15289742,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-03,流通,0.357517,0.30508235,0.17142451,0.0040456597,-0.43759006,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-04,流通,0.30742213,0.3522531,0.31759512,0.20459206,-0.15244481,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-05,流通,0.30877507,0.35097912,0.31364742,0.19917579,-0.16014591,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-06,流通,0.31714058,0.34310192,0.28923792,0.16568588,-0.20776325,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-07,流通,0.31069195,0.34917414,0.30805418,0.19150184,-0.17105705,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-08,流通,0.30756098,0.35212234,0.31719,0.20403618,-0.1532352,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-09,流通,0.3100516,0.34977713,0.3099227,0.19406545,-0.16741198,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-10,流通,0.34317064,0.38090718,0.32704008,0.2042658,-0.1660771,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-11,流通,0.3162133,0.35585958,0.31363815,0.19662946,-0.16627777,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2024-12,流通,0.32001334,0.35894987,0.31472313,0.19669648,-0.16759163,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
不详,2023-04,生产,0.3231079,0.39663738,0.37980962,0.27733964,-0.06150961,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run
