policy,total_reward,mean_reward,risk_reward_total,information_gain_total,sampling_cost_total,opportunity_penalty_total,constraint_penalty_total,constraint_violation_count,constraint_violation_rate,constraint_adjustment_count,mean_action,zero_action_share,state_coverage,monthly_budget,experimental_label,rank
Q-learning,471.52909489394915,0.2757480087099118,437.08035413037527,87.23211648155625,108.30600000000226,0.9875372025146004,0.0,0,0.0,0,3.5187134502923976,0.18830409356725147,1710,4567,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion,1
DQN修正版,469.85867402351323,0.27477115439971533,429.8496795568103,80.38996586229845,112.66200000000242,0.6938361140829665,0.0,0,0.0,0,3.660233918128655,0.1654970760233918,1710,4567,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion,2
threshold/greedy uncertainty,468.9166985723423,0.2742202915627733,484.70407037905295,105.33551558325865,135.61200000000323,0.0,0.0,0,0.0,0,4.405847953216374,0.0,1710,4567,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion,3
risk-ranking top-k,441.66127786966933,0.25828144904659023,422.6748138838469,94.8813526692505,82.35000000000134,0.0,0.0,0,0.0,0,2.675438596491228,0.0,1710,4567,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion,4
uniform allocation,417.27523314685095,0.244020604179445,348.0153670971109,77.68112308584499,90.97200000000184,0.0,0.0,0,0.0,0,2.9555555555555557,0.0,1710,4567,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion,5
historical allocation,305.5677656145999,0.17869459977461985,435.4146830784724,68.78568676206825,219.906000000006,0.0,0.0,0,0.0,0,7.144444444444445,0.0,1710,4567,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion,6
random policy,247.13434471069195,0.14452300860274384,283.67664298684974,56.934901268615725,108.25200000000218,11.982347297500079,0.0,0,0.0,0,3.5169590643274855,0.22456140350877193,1710,4567,DQN修正版 experimental run / revised DQN experimental run; not formal policy conclusion,7
