episode,total_reward_proxy,epsilon,state_bins
83,403.381883298287,0.2567140514271973,131
84,397.07141322294046,0.2528633406557893,131
85,397.7077689059846,0.24907039054595245,131
86,390.9719457258234,0.24533433468776317,131
87,389.17708646628853,0.24165431966744672,131
88,400.0227583972646,0.23802950487243502,131
89,389.20254099859267,0.2344590622993485,131
90,388.67407892604933,0.23094217636485825,131
91,409.03306652309436,0.22747804371938538,131
92,402.05959393661794,0.2240658730635946,131
93,398.47323219763166,0.22070488496764068,131
94,395.09385391687283,0.21739431169312606,131
95,402.01672504781925,0.21413339701772918,131
96,411.06871800736553,0.21092139606246324,131
97,392.215702698275,0.2077575751215263,131
98,408.6482959714267,0.20464121149470338,131
99,402.1292488614272,0.20157159332228283,131
100,398.09497671837744,0.1985480194224486,131
101,405.94479187309514,0.19556979913111186,131
102,409.8450148894575,0.19263625214414518,131
103,403.37080898362217,0.18974670836198299,131
104,405.1720087471331,0.18690050773655323,131
105,412.99282748584665,0.18409700012050492,131
106,414.2456502255518,0.18133554511869734,131
107,401.67639331238206,0.17861551194191688,131
108,407.3414856036252,0.17593627926278813,131
109,425.4112252851868,0.1732972350738463,131
110,423.61210246848896,0.17069777654773863,131
111,414.47294131776835,0.16813730989952255,131
112,426.87522479845245,0.16561525025102972,131
113,409.6688103595683,0.16313102149726427,131
114,416.91268560807873,0.1606840561748053,131
115,411.78369836436866,0.15827379533218322,131
116,420.9257497376602,0.15589968840220048,131
117,422.4356461975203,0.15356119307616747,131
118,416.64351694776997,0.15125777518002495,131
119,397.8215855019953,0.14898890855232458,131
120,421.70835915933276,0.14675407492403972,131
121,417.08622854672467,0.14455276380017912,131
122,434.47061210824575,0.14238447234317642,131
123,419.5134958835155,0.14024870525802877,131
124,410.18776588024775,0.13814497467915834,131
125,425.15787589384126,0.13607280005897096,131
126,439.07512926519667,0.1340317080580864,131
127,422.96380233763193,0.13202123243721509,131
128,435.69506112595263,0.13004091395065687,131
129,427.40019148818317,0.128090300241397,131
130,417.24521615646006,0.12616894573777604,131
131,423.7029084440146,0.1242764115517094,131
132,410.3159821931458,0.12241226537843376,131
133,419.05941713209904,0.12057608139775726,131
134,422.59136570557166,0.1187674401767909,131
135,423.8582846242916,0.11698592857413904,131
136,414.0724306329357,0.11523113964552696,131
137,420.4280143634114,0.11350267255084405,131
138,419.5271978843357,0.11180013246258139,131
139,441.68625334632816,0.11012313047564266,131
140,435.3706013459887,0.10847128351850802,131
141,433.4454345389513,0.10684421426573039,131
142,433.6384699349801,0.10524155105174443,131
143,430.1895312075503,0.10366292778596826,131
144,435.19017940566846,0.10210798386917874,131
145,431.2092122908507,0.10057636411114106,131
146,430.5494107464965,0.09906771864947393,131
147,433.5755897025592,0.09758170286973182,131
148,430.707837732758,0.09611797732668584,131
149,435.8845732706759,0.09467620766678556,131
150,436.69669016489934,0.09325606455178377,131
151,437.4315077381543,0.09185722358350701,131
152,443.6206957913531,0.0904793652297544,131
153,428.283464030494,0.08912217475130808,131
154,426.4763108347637,0.08778534213003845,131
155,445.4702855965737,0.08646856199808788,131
156,443.6917850299727,0.08517153356811656,131
157,443.8577642324799,0.0838939605645948,131
158,439.6586010727169,0.08263555115612588,131
159,440.15751479554456,0.08139601788878399,131
160,451.47700270023086,0.08017507762045223,131
161,434.3761654537906,0.07897245145614544,131
162,423.89302348942874,0.07778786468430325,131
163,433.71604749898904,0.0766210467140387,131
164,434.00316371061706,0.07547173101332812,131
165,438.64628852157,0.0743396550481282,131
166,450.6509503809302,0.07322456022240628,131
167,447.9605898256759,0.07212619181907019,131
168,451.86068720202456,0.07104429894178414,131
169,442.6277385935464,0.06997863445765738,131
170,436.22349222675257,0.06892895494079251,131
171,448.91565134252596,0.06789502061668062,131
172,444.37587793704733,0.06687659530743041,131
173,450.7579996783479,0.06587344637781896,131
174,447.5985413835824,0.06488534468215168,131
175,452.22184560800997,0.0639120645119194,131
176,446.39563245185855,0.06295338354424061,131
177,434.397175535918,0.062009082791077,131
178,452.85906628906196,0.061078946549210845,131
179,439.40242155572196,0.06016276235097268,131
180,447.69340396814584,0.05926032091570809,131
181,440.8876802330997,0.05837141610197247,131
182,455.4530702148095,0.05749584486044288,131
183,449.4441884656211,0.05663340718753624,131
184,433.9223258535658,0.055783906079723194,131
185,448.60455827151634,0.054947147488527345,131
186,441.3831147569821,0.05412294027619943,131
187,444.8569493312174,0.05331109617205644,131
188,451.76231324107573,0.052511429729475596,131
189,450.6695284175315,0.05172375828353346,131
190,447.2842106847605,0.05094790190928046,131
191,442.52316913938773,0.050183683380641254,131
192,444.2764003600678,0.05,131
193,451.96939928021857,0.05,131
194,448.72854127759456,0.05,131
195,450.09255383464006,0.05,131
196,440.42154866248165,0.05,131
197,449.2303031172469,0.05,131
198,434.1215160616048,0.05,131
199,437.9573084262938,0.05,131
200,451.47844516747136,0.05,131
201,447.13432832960825,0.05,131
202,446.3970469675281,0.05,131
203,443.3836646272197,0.05,131
204,442.4233382935927,0.05,131
205,455.7606373906583,0.05,131
206,451.5269070287304,0.05,131
207,443.5809185013695,0.05,131
208,437.53746772906743,0.05,131
209,440.217949345928,0.05,131
210,456.51505194050696,0.05,131
211,460.98476808966916,0.05,131
212,446.4115141605962,0.05,131
213,439.3507606970743,0.05,131
214,445.49172758736165,0.05,131
215,434.84882579128714,0.05,131
216,447.1909702440065,0.05,131
217,447.7544068840165,0.05,131
218,435.0052716199592,0.05,131
219,438.42934872814146,0.05,131
220,447.2255693084338,0.05,131
221,435.6660173107542,0.05,131
222,445.90198831577436,0.05,131
223,434.84582580349525,0.05,131
224,452.1108066759771,0.05,131
225,451.0661969851044,0.05,131
226,450.47345915288133,0.05,131
227,429.68266231573216,0.05,131
228,426.29138736909954,0.05,131
229,440.7327211874872,0.05,131
230,445.23424986014106,0.05,131
231,446.47504891927565,0.05,131
232,451.562703707752,0.05,131
233,452.72438967356175,0.05,131
234,446.85002536801767,0.05,131
235,449.5495462802992,0.05,131
236,447.8479572022752,0.05,131
237,448.68408674376224,0.05,131
238,442.2454614527014,0.05,131
239,452.01727368441095,0.05,131
240,456.5000683618109,0.05,131
241,456.684678682392,0.05,131
242,456.2981698365278,0.05,131
243,451.4599443303981,0.05,131
244,445.0747132164637,0.05,131
245,437.63737289549533,0.05,131
246,443.926896310972,0.05,131
247,440.79300321316293,0.05,131
248,442.82858235660933,0.05,131
249,453.22947366757614,0.05,131
250,443.60048993090277,0.05,131
251,456.00255450877773,0.05,131
252,451.657647364902,0.05,131
253,452.4352038879082,0.05,131
254,429.8935807711172,0.05,131
255,448.0581801599528,0.05,131
256,449.0961485009757,0.05,131
257,450.4778943269248,0.05,131
258,443.3961280881904,0.05,131
259,453.8507578432818,0.05,131
260,450.3711355720352,0.05,131
261,437.50522584187274,0.05,131
262,437.66506302052767,0.05,131
263,445.478951320285,0.05,131
264,443.3369797405667,0.05,131
265,444.26515605240456,0.05,131
266,444.2959508884542,0.05,131
267,449.90205057260755,0.05,131
268,448.4551175038232,0.05,131
269,438.1730095913081,0.05,131
270,438.6839589357569,0.05,131
271,459.9419506158756,0.05,131
272,449.15248000365864,0.05,131
273,455.7966003614438,0.05,131
274,458.70420177528285,0.05,131
275,456.20271779387986,0.05,131
276,455.9929817425873,0.05,131
277,458.3478217274678,0.05,131
278,473.79418726632866,0.05,131
279,464.79648562471994,0.05,131
280,464.75520829023117,0.05,131
281,454.3713276982671,0.05,131
282,450.1275198765652,0.05,131
283,442.4623407050949,0.05,131
284,446.6653894315368,0.05,131
285,444.2667508672075,0.05,131
286,450.68592688419994,0.05,131
287,454.88221376522233,0.05,131
288,457.42705955194833,0.05,131
289,451.884409136881,0.05,131
290,456.19743821678276,0.05,131
291,457.64341819110086,0.05,131
292,460.8510743157385,0.05,131
293,461.33082118483435,0.05,131
294,458.6850012685318,0.05,131
295,451.53570617938385,0.05,131
296,448.3197434239428,0.05,131
297,449.0367592233397,0.05,131
298,452.73302647045057,0.05,131
299,448.35668997753965,0.05,131
300,446.0768616447913,0.05,131
