episode,total_reward_proxy,epsilon,state_bins
1,264.45043374903616,0.8865,131
2,268.5395882833618,0.8732025,131
3,255.98100947416424,0.8601044624999999,131
4,288.898101274317,0.8472028955625,131
5,280.4079308095701,0.8344948521290624,131
6,270.5956400084251,0.8219774293471265,131
7,272.359687460681,0.8096477679069196,131
8,298.4473500078093,0.7975030513883158,131
9,266.16238128500333,0.785540505617491,131
10,299.1576859247165,0.7737573980332286,131
11,292.73452720184287,0.7621510370627302,131
12,286.9224498219628,0.7507187715067892,131
13,293.92441975136353,0.7394579899341874,131
14,307.9292970969691,0.7283661200851747,131
15,266.9779476902353,0.717440628283897,131
16,304.09936226252864,0.7066790188596386,131
17,297.4546346811858,0.6960788335767439,131
18,296.20156928218785,0.6856376510730928,131
19,302.60128549594083,0.6753530863069964,131
20,309.7533765078406,0.6652227900123915,131
21,309.5812504423742,0.6552444481622056,131
22,311.60946103518654,0.6454157814397725,131
23,317.2491295575164,0.6357345447181759,131
24,312.23325042381475,0.6261985265474033,131
25,315.51930391050155,0.6168055486491922,131
26,299.80119312075874,0.6075534654194543,131
27,334.3947107357675,0.5984401634381625,131
28,338.7681795728204,0.5894635609865901,131
29,326.7068404673628,0.5806216075717913,131
30,330.16772906525364,0.5719122834582144,131
31,317.9611787001995,0.5633335992063412,131
32,335.81002813000487,0.554883595218246,131
33,323.8483913499731,0.5465603412899723,131
34,341.5584419648603,0.5383619361706228,131
35,342.11133191649094,0.5302865071280635,131
36,336.0783117560368,0.5223322095211425,131
37,353.3031496457497,0.5144972263783253,131
38,329.37167707901244,0.5067797679826505,131
39,348.9954909398293,0.4991780714629107,131
40,335.8959799922595,0.49169040039096706,131
41,344.2915452867768,0.48431504438510253,131
42,345.8965285228045,0.477050318719326,131
43,353.0930254559429,0.4698945639385361,131
44,343.1700013926969,0.46284614547945807,131
45,351.12602379632153,0.45590345329726617,131
46,339.9665089445625,0.44906490149780715,131
47,364.5323007646151,0.44232892797534,131
48,360.65108055394376,0.4356939940557099,131
49,372.05087572778575,0.42915858414487423,131
50,344.9736511386967,0.42272120538270114,131
51,367.5681125414558,0.41638038730196064,131
52,359.0816814367208,0.4101346814924312,131
53,367.87323578300163,0.40398266127004473,131
54,349.18420459952176,0.39792292135099405,131
55,356.0812766893214,0.39195407753072914,131
56,363.21987855237455,0.3860747663677682,131
57,364.67933152636215,0.3802836448722517,131
58,377.5817839688443,0.3745793901991679,131
59,362.95097168019674,0.36896069934618037,131
60,378.24864223721704,0.36342628885598766,131
61,358.31298006078794,0.35797489452314785,131
62,383.17527668434195,0.3526052711053006,131
63,376.32816697268026,0.3473161920387211,131
64,375.70597027006625,0.34210644915814026,131
65,370.03682443623984,0.33697485242076813,131
66,369.0865435211599,0.3319202296344566,131
67,384.042511909176,0.32694142618993977,131
68,386.31073072936306,0.32203730479709064,131
69,380.53941045352076,0.31720674522513426,131
70,377.8905475186166,0.31244864404675726,131
71,387.4105551498633,0.3077619143860559,131
72,385.7836857315782,0.30314548567026506,131
73,387.12599708729977,0.2985983033852111,131
74,389.3921871153219,0.2941193288344329,131
75,391.1708181503585,0.2897075389019164,131
76,376.4413465211841,0.28536192581838765,131
77,377.2883146430562,0.28108149693111184,131
78,385.32063633161704,0.27686527447714515,131
79,386.9723538801845,0.272712295359988,131
80,386.7787487200312,0.26862161092958814,131
81,394.2223826441241,0.26459228676564434,131
82,383.87721447922195,0.26062340246415966,131
