episode,total_reward,moving_average_reward,mean_loss,epsilon,mean_action,constraint_violation_rate,device,gpu,elapsed_seconds
41,482.18661436590446,491.88432524382245,0.10460713257392247,0.5609879239878037,3.0871345029239765,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,5.444
42,490.1476450972641,491.7845636205734,0.10309396808346112,0.5531340930519745,3.195906432748538,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,5.572
43,485.195304598445,491.1896384611572,0.10207538762026364,0.5453902157492468,3.0830409356725146,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,5.71
44,479.67704223893816,490.87062858229365,0.10702973397241698,0.5377547527287574,4.029824561403509,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,5.848
45,481.4752006814109,490.6123135333839,0.09726967207259601,0.5302261861905547,3.017543859649123,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,5.989
46,484.81993372070644,490.21476853469284,0.094216115358803,0.522803019583887,3.9654970760233916,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,6.128
47,479.940706764481,489.38761432296394,0.09773250462280379,0.5154837773097125,2.8514619883040937,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,6.268
48,497.73440621873704,489.5841758712612,0.09771192404958937,0.5082670044273765,3.5274853801169592,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,6.408
49,475.25718731162704,488.86103138229436,0.09468873879975742,0.5011512663653932,2.8128654970760234,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,6.548
50,485.6504737147883,488.4092355439114,0.10080590347448985,0.49413514863627767,3.2619883040935673,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,6.701
51,477.45463637136197,488.13703154256746,0.11740687158372667,0.4872172565553698,2.656140350877193,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,6.851
52,483.5906674936963,487.38936089967854,0.10605914394060771,0.48039621496359464,3.3953216374269006,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,7.043
53,487.06486729713106,487.08616432143936,0.10783097768823306,0.4736706679541043,3.026315789473684,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,7.242
54,482.3470701703045,486.23833457670736,0.10881627806358868,0.4670392786027468,3.3380116959064328,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,7.418
55,494.23977237473116,486.0521004485634,0.10452320861319701,0.46050072870230835,3.452046783625731,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,7.609
56,494.294195682069,486.32388609068846,0.11051322809524006,0.45405371850047604,3.4567251461988304,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,7.796
57,489.07292931210577,486.18084522554346,0.11300545889470312,0.4476969664414694,3.2830409356725148,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,7.985
58,483.6228745151351,485.5609548852046,0.11126356447736423,0.44142920891128884,2.991228070175439,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,8.173
59,471.34856048472284,484.64866997549615,0.11471319446961085,0.4352491999865308,3.8795321637426903,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,8.363
60,487.4917763094945,484.6305932361527,0.10815667940510644,0.42915571118671936,3.191812865497076,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,8.568
61,490.52363525610815,485.0474442806629,0.11293272839652167,0.4231475312301053,3.283625730994152,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,8.753
62,484.4081748731427,484.7604707694568,0.10754456205500497,0.41722346579288383,2.9298245614035086,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,8.956
63,484.1900611828314,484.7102085986761,0.10799667321973377,0.41138233727178347,3.105847953216374,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,9.149
64,481.7491969627048,484.81381633486444,0.10854095965623856,0.40562298454997847,2.9543859649122806,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,9.353
65,490.11142176464307,485.245627389026,0.1092087525046534,0.39994426276627876,3.3321637426900583,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,9.544
66,488.19225799035667,485.4142436025086,0.10535432605279817,0.39434504308755086,3.594736842105263,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,9.737
67,486.0305735186648,485.7187369402178,0.10649973650773366,0.38882421248432514,3.664327485380117,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,9.918
68,488.1038724078462,485.23721024967324,0.1120541464123461,0.3833806735095446,3.287719298245614,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,10.113
69,483.26897017801275,485.6377993929926,0.10970667045977381,0.37801334408041093,3.305263157894737,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,10.303
70,481.5994126069436,485.43524633760035,0.10610866919159889,0.3727211572632852,3.1964912280701756,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,10.502
71,489.73351151989664,486.0491900950271,0.1234782309167915,0.3675030610615992,3.5128654970760236,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,10.697
72,479.9940287822268,485.86935815945355,0.12004933009545009,0.3623580182067368,2.832748538011696,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,10.877
73,474.7097220512387,485.25160089715894,0.11975475069549349,0.3572850059518425,4.027485380116959,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,11.055
74,482.2431846996278,485.24640662362515,0.11855430321560965,0.3522830158685167,3.372514619883041,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,11.249
75,479.11053075732525,484.4899445427548,0.11329438578751352,0.34735105364635743,3.4362573099415203,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,11.448
76,480.0287684337327,483.776673180338,0.11678072975741492,0.34248813889530844,3.4842105263157896,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,11.64
77,490.0462559127027,483.8253395103678,0.11706714042358929,0.3376933049507741,3.471345029239766,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,11.833
78,472.83265938659713,483.28582875394096,0.11469327327277926,0.33296559868146325,2.9374269005847955,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,12.021
79,485.3670521818076,483.9867533387952,0.12165346845156616,0.32830408029992275,3.4432748538011695,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,12.21
80,484.5367190729612,483.8390004769685,0.11957136127683851,0.32370782317572383,3.2309941520467835,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,12.387
81,482.12561780324575,483.4190996043254,0.11458628624677658,0.3191759136512637,3.8374269005847954,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,12.58
82,482.15130972108454,483.30625634672253,0.11230220397313435,0.314707450860146,3.08187134502924,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,12.753
83,461.3073450363412,482.16212053939796,0.11935959880550702,0.31030154654810393,2.8473684210526318,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,12.943
84,474.2950851582227,481.7894149491739,0.11558117427759701,0.30595732489643046,3.3573099415204677,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,13.124
85,479.94672895252916,481.2811803085682,0.11616766783926222,0.30167392234788043,3.152046783625731,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,13.33
86,481.163243076031,480.92972956285195,0.13448312423295444,0.2974504874350101,3.4719298245614034,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,13.516
87,482.7126684550767,480.7638343096725,0.11358577799465921,0.29328618061092,3.739766081871345,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,13.726
88,486.17142171557896,480.6672117750592,0.1159478806787067,0.2891801740823671,3.461988304093567,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,13.936
89,484.7789632947315,480.7427114308951,0.1256232394112481,0.285131651645214,3.625730994152047,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,14.135
90,475.8856485995169,480.45702323052376,0.12193467302454843,0.28113980852218096,2.967251461988304,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,14.333
91,484.2366260244871,480.1821789557533,0.11666634554664294,0.27720385120287044,3.539766081871345,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,14.512
92,478.14756177112577,480.08985560519824,0.11613933617870013,0.27332299728603027,3.5391812865497077,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,14.684
93,479.8682534548301,480.3477821753778,0.11357212025258276,0.2694964753240258,3.0526315789473686,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,14.814
94,479.4319357311073,480.20721972695173,0.12007201380199856,0.26572352466948945,3.175438596491228,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,14.948
95,473.2301987949344,479.91320312883215,0.11961201826731364,0.2620033953241166,3.1076023391812866,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,15.08
96,480.83134883777745,479.9533321490344,0.11066203357444869,0.25833534778957895,3.4502923976608186,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,15.214
97,482.81974024389126,479.5920063655938,0.10954260950287183,0.25471865292052487,3.2865497076023393,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,15.356
98,469.92428713780134,479.446587753154,0.10730099139942063,0.2511525917796375,2.9350877192982456,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,15.501
99,481.4108407471995,479.24877718142363,0.11192255467176437,0.24763645549472257,3.210526315789474,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,15.648
100,483.009803661775,479.17243141086436,0.11304005732138951,0.24416954511779645,3.539766081871345,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,15.794
101,486.6892147676499,479.4006112590846,0.1226927816039986,0.2407511714861473,3.501754385964912,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,15.935
102,484.19091807046823,479.5025916765538,0.12174342903825972,0.23738065508534123,3.1087719298245613,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,16.084
103,450.997403794276,478.9870946144504,0.1304241137372123,0.23405732591414646,2.8210526315789473,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,16.231
104,487.30132215767696,479.6374064644232,0.1285708203083939,0.2307805233513484,3.4128654970760235,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,16.383
105,467.65483680387297,479.0228118569904,0.12454438582062721,0.22754959602442953,3.7421052631578946,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,16.528
106,466.2119223276426,478.27524581957096,0.12291021645069122,0.22436390168008752,3.0953216374269004,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,16.695
107,483.7274964911161,478.3259872213729,0.12561705294582579,0.2212228070565663,3.547953216374269,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,16.852
108,467.08678556251505,477.3717554137197,0.12698806780907843,0.21812568775777438,3.1994152046783624,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,17.007
109,477.8242765296785,477.02402107546703,0.13008846963445345,0.21507192812916553,3.0701754385964914,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,17.166
110,476.1335527608338,477.0364162835329,0.12360840621921751,0.2120609211353572,3.2619883040935673,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,17.336
111,470.64827334405743,476.3569986495114,0.12334190474616157,0.20909206823946222,2.9461988304093567,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,17.499
112,484.2382823531974,476.66153467861494,0.13387437951233652,0.20616477928410976,2.984795321637427,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,17.667
113,474.2587803428654,476.38106102301674,0.12016802322533396,0.2032784723741322,3.4116959064327483,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,17.92
114,479.93829003875396,476.40637873839904,0.12834924128320482,0.20043257376089435,3.3461988304093566,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,18.127
115,485.8196762552561,477.0358526114152,0.12001996694339646,0.19762651772824183,3.4900584795321636,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,18.337
116,484.7188559125061,477.2302279651516,0.13147707449065316,0.19485974648004645,3.415204678362573,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,18.514
117,483.97742319012684,477.2881121124634,0.1198519149588214,0.1921317100293258,3.346783625730994,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,18.688
118,475.947939870803,477.5892947491135,0.1280539333820343,0.18944186608891525,3.2321637426900587,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,18.868
119,483.37704683242407,477.6876050533747,0.1270219282143646,0.18678967996367044,3.209941520467836,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,19.063
120,488.37703932691727,477.9559668366318,0.12357319187786844,0.18417462444417904,3.7760233918128656,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,19.247
121,485.24362731457984,477.8836874639783,0.12162745205892457,0.18159617970196051,3.1894736842105265,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,19.434
122,476.9871397651732,477.5234985487135,0.1267663778530227,0.17905383318613308,3.924561403508772,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,19.618
123,483.6299891883194,479.15512781841574,0.12854531490140492,0.1765470795215272,3.285380116959064,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,19.819
124,486.06505779201905,479.0933146001329,0.1213390396700965,0.17407542040822582,3.639766081871345,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,20.039
125,484.6832222881079,479.94473387434465,0.12894122302532196,0.17163836452251066,3.409356725146199,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,20.235
126,480.22701212120774,480.6454883640228,0.12586592841479513,0.1692354274191955,3.8023391812865497,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,20.431
127,487.3532476830733,480.8267759236207,0.12616148011551964,0.16686613143532678,3.5923976608187136,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,20.619
128,486.79506141009404,481.81218971599964,0.1324274486137761,0.1645300055952322,3.426900584795322,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,20.807
129,483.8131850907033,482.11163514405087,0.13119862808121574,0.16222658551689895,3.446783625730994,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,20.985
130,480.98076928342925,482.3539959701807,0.12647862111528715,0.15995541331966237,3.797076023391813,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,21.172
131,482.74602344905725,482.9588834754307,0.13876690549982917,0.1577160375331871,3.7093567251461987,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,21.366
132,476.20962839813944,482.5574507776778,0.13626862896813285,0.1555080130077225,3.0807017543859647,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,21.562
133,486.9404928469303,483.19153640288107,0.14250813838508394,0.15333090082561437,3.486549707602339,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,21.759
134,477.2614066072274,483.0576922313047,0.14627593010663986,0.15118426821405578,3.953801169590643,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,21.951
135,475.69741187216675,482.5515790121502,0.13889727907048333,0.149067688459059,3.308187134502924,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,22.151
136,471.45712266722694,481.8884923498863,0.12773400959041384,0.14698074082063217,4.007602339181287,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,22.348
137,480.84302776337825,481.7317725785489,0.1485309037897322,0.14492301044914332,3.5625730994152045,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,22.543
138,483.33605737297,482.1011784536572,0.13900242083602482,0.14289408830285533,3.6830409356725147,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,22.736
139,479.8714454627916,481.9258983851756,0.14049522206187248,0.14089357106661535,3.5350877192982457,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,22.933
140,478.8321701612971,481.4486549268946,0.13204166086183655,0.13892106107168273,3.4216374269005847,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,23.118
141,480.6060108989768,481.21677410611437,0.14044415288501316,0.13697616621667916,3.907017543859649,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,23.335
142,480.6386913578608,481.39935168574885,0.14324458771281773,0.13505849988964563,3.450877192982456,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,23.52
143,478.4779837304835,481.14175141285693,0.13273526810937458,0.1331676808911906,3.7830409356725148,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,23.724
144,474.5360003124173,480.56529853887696,0.14025428601437145,0.13130333335871394,3.422222222222222,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,23.891
145,473.26814985857345,479.99454491740016,0.1362649504509237,0.12946508669169193,3.353801169590643,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,24.02
146,474.25949028722243,479.69616882570097,0.12869208264682028,0.12765257547800823,3.6239766081871343,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,24.146
147,465.22550750801236,478.58978181694795,0.1358269246088134,0.12586543942131612,3.150292397660819,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,24.275
148,478.14978229350527,478.15751786111844,0.14286943235331112,0.12410332326941768,3.5649122807017544,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,24.403
149,483.57328236685134,478.14552272492585,0.138333593805631,0.12236587674364584,3.939766081871345,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,24.531
150,482.06111102958675,478.1995398122337,0.13592781209283405,0.12065275446923479,3.871345029239766,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,24.662
151,479.3099306163058,478.02773517059615,0.12676180029908815,0.1189636159066655,3.5391812865497077,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,24.792
152,467.06395238815855,477.5704513700971,0.13086476259761387,0.11729812528397218,3.5982456140350876,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,24.919
153,476.10828465837403,477.0288409606693,0.133254268931018,0.11565595152999657,3.6380116959064326,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,25.046
154,479.4501109633202,477.13827617847403,0.1179940373533302,0.11403676820857661,3.5269005847953214,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,25.175
155,464.69312527735417,476.5880618487333,0.12882937242587408,0.11244025345365653,3.9415204678362574,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,25.302
156,484.94267613817647,477.26233952228074,0.12344383655322923,0.11086608990530535,3.3444444444444446,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,25.43
157,472.57880811422035,476.84912853982286,0.13167281241880524,0.10931396464663107,3.4058479532163743,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,25.557
158,483.2747273208224,476.8460620372155,0.13511421117517683,0.10778356914157823,3.530994152046784,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,25.693
159,473.2757835085325,476.5162789395025,0.12758953703774345,0.10627459917359613,3.34093567251462,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,25.831
160,474.2927385895331,476.28930736091434,0.12402332201600075,0.10478675478516579,3.641520467836257,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,25.964
161,484.4629876262625,476.48215619727864,0.1524460365374883,0.10331974021817347,3.647953216374269,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,26.106
162,478.43434293888276,476.3719387763297,0.14038413183556664,0.10187326385511904,3.719298245614035,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,26.246
163,473.77110946577375,476.1365950630942,0.14346756248010528,0.10044703816114738,3.5274853801169592,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,26.391
164,481.9517690550514,476.50738350022596,0.1427003654340903,0.09904077962689131,3.352046783625731,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,26.54
165,473.1720473719033,476.5025783758924,0.13296951601902643,0.09765420871211483,3.4368421052631577,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,26.681
166,475.22794614001975,476.55100116853225,0.1352808214724064,0.09628704979014523,3.254970760233918,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,26.836
167,479.4894125423474,477.26419642024905,0.14695051105486023,0.09493903109308319,3.2251461988304095,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,26.985
168,481.25330968481467,477.4193727898145,0.1382468661500348,0.09360988465778002,3.8812865497076023,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,27.124
169,480.13145955502114,477.247281649223,0.1406083938976129,0.0922993462725711,3.7608187134502926,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,27.264
170,480.21516150921525,477.1549841732045,0.13220126512977812,0.0910071554247551,3.7309941520467835,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,27.407
171,472.913609351181,476.83516810994826,0.13615057782994378,0.08973305524880852,3.4660818713450294,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,27.553
172,478.1921296932236,477.3915769752015,0.13416904831926027,0.0884767924753252,3.4304093567251464,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,27.701
173,470.8870929655353,477.13051739055953,0.12744726488987604,0.08723811738067064,3.2140350877192985,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,27.853
174,473.4926196342825,476.83264282410767,0.12442385736438963,0.08601678373734124,3.453801169590643,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,28.007
175,473.51811658078475,477.2738923892792,0.1391399200591776,0.08481254876501847,3.391812865497076,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,28.17
176,475.21023655715726,476.7872704102282,0.11798694026139048,0.08362517308230821,3.6707602339181284,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,28.332
177,480.47403103584327,477.18203155630937,0.12475890666246414,0.0824544206591559,3.4608187134502923,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,28.492
178,472.1347622691213,476.6250333037243,0.13078405749466684,0.08130005876992771,3.331578947368421,0.0,cuda,NVIDIA GeForce RTX 4060 Ti,28.659
