"check","command","return_code","stdout","stderr","readiness"
"python_executable","D:\anaconda3\envs\myenv1\python.exe -c import sys; print(sys.executable)","0","D:\anaconda3\envs\myenv1\python.exe","","pass"
"torch_cuda","D:\anaconda3\envs\myenv1\python.exe -c import torch; print(torch.__version__); print(torch.version.cuda); print(torch.cuda.is_available()); print(torch.cuda.get_device_name(0) if torch.cuda.is_available() else 'NO CUDA')","0","2.11.0+cu126
12.6
True
NVIDIA GeForce RTX 4060 Ti","","pass"
"core_packages","D:\anaconda3\envs\myenv1\python.exe -c import numpy, pandas, sklearn, matplotlib, openpyxl, xlsxwriter, yaml, gymnasium; print('core ok')","0","core ok","","pass"
