省份,年份,月份,年月,供应链环节,抽检总批次数,AFB1相关记录数,浓度可用记录数,总体不合格_后验均值,AFB1条件不合格_后验均值,EDI均值,EDI_P95,MOE_default_均值,低于MOE阈值比例,人口加权风险_proxy,MOE风险惩罚_proxy,dqn_risk_proxy,dqn_uncertainty_proxy,dqn_coverage_gap_proxy,Q_action_0,Q_action_1,Q_action_2,recommended_action,recommended_action_name,recommended_inspection_units
上海,2023,1,2023-01,流通,1,0,0,0.3333333333333333,0.5,,,,,0.0,0.0,0.39557226399331663,0.991812865497076,0.3068528194400547,0.8535117258293617,1.039199005213665,1.0369628048992694,1,常规加密抽检,1
上海,2023,2,2023-02,流通,6,0,0,0.111731843575419,0.5,,,,,0.0,0.0,0.3851294903926483,0.9187134502923977,0.0,0.7680623542273225,1.0062152822666293,0.48206035636115707,1,常规加密抽检,1
上海,2023,3,2023-03,流通,14,0,0,0.0442428934852339,0.5,,,,,0.0,0.0,0.36666666666666664,0.7894736842105263,0.0,0.7560578588125585,0.9422961459496221,0.32137940806993437,1,常规加密抽检,1
上海,2023,4,2023-04,流通,6,0,0,0.0362681850946826,0.5,,,,,0.0,0.0,0.36148705096073513,0.7532163742690059,0.0,0.7507610215600422,0.8791527186783944,0.22922625941432379,1,常规加密抽检,1
上海,2023,5,2023-05,流通,15,0,0,0.0242167361560865,0.5,,,,,0.0,0.0,0.35062656641604006,0.6771929824561403,0.0,0.7259672478666884,0.8276405009612356,0.10476591801588515,1,常规加密抽检,1
上海,2023,6,2023-06,流通,8,0,0,0.021128664328573,0.5,,,,,0.0,0.0,0.34594820384294067,0.6444444444444445,0.0,0.6873823311642921,0.8014614103064182,0.04922204343932339,1,常规加密抽检,1
上海,2023,7,2023-07,流通,4,0,0,0.0203821178239588,0.5,,,,,0.0,0.0,0.34452798663324974,0.6345029239766082,0.0,0.6890751283459178,0.7921919358517439,0.025361235026356524,1,常规加密抽检,1
上海,2023,8,2023-08,流通,5,0,0,0.0386776242005523,0.5,,,,,0.0,0.0,0.35430242272347534,0.7029239766081872,0.0,0.7311662409510961,0.8351073991252563,0.10581685248691274,1,常规加密抽检,1
上海,2023,9,2023-09,流通,10,0,0,0.03292583528709,0.5,,,,,0.0,0.0,0.349874686716792,0.6719298245614035,0.0,0.7159268230274838,0.8139887343177357,0.0683736805826015,1,常规加密抽检,1
上海,2023,10,2023-10,流通,4,0,0,0.0315177509829948,0.5,,,,,0.0,0.0,0.3480367585630743,0.6590643274853801,0.0,0.7082336333764614,0.8042429592609065,0.04606427014463825,1,常规加密抽检,1
