省份,年月,供应链环节,状态ID,recommended_action_index,recommended_extra_sampling_batches,experimental_label,risk_score_proxy
广西,2023-03,生产,广西|生产|2023-03,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31407427007455613
浙江,2023-08,餐饮,浙江|餐饮|2023-08,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3131168423062174
四川,2024-03,餐饮,四川|餐饮|2024-03,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31299453693576657
山东,2024-11,餐饮,山东|餐饮|2024-11,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3124050052301385
浙江,2023-06,餐饮,浙江|餐饮|2023-06,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3123311033853129
广东,2023-03,生产,广东|生产|2023-03,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31177000236833363
山东,2024-08,餐饮,山东|餐饮|2024-08,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3117194042149395
四川,2024-05,流通,四川|流通|2024-05,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31161874682543733
山东,2024-10,餐饮,山东|餐饮|2024-10,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.3112828906694319
山东,2024-12,餐饮,山东|餐饮|2024-12,2,3,自动合成参数 DQN 实验版 / self-synthesized DQN experimental run,0.31099655360215145
